StartClass,StartSubclass,StartDecimal,StartCutterLetter,StartCutterNumber,EndClass,EndSubclass,EndDecimal,EndCutterLetter,EndCutterNumber,"Description"
DS,918,,,,,921,8,,,"War and intervention, 1950-1953"
DS,924,,,,,925,,,,"Local history and description"
DS,930,,,,,937,,,,"Democratic People's Republic, 1948-"
DT,1,,,,,3415,,,,"History of Africa"
DT,7,,,,,12,25,,,"Description and travel"
DT,15,,,,,16,,,,"Ethnography"
DT,17,,,,,39,,,,"History"
DT,43,,,,,154,,,,"Egypt"
DT,56,8,,,,69,5,,,"Antiquities"
DT,63,,,,,63,5,,,"Pyramids"
DT,68,,,,,68,8,,,"Religious antiquities"
DT,71,,,,,72,,,,"Ethnography"
DT,73,,,,,,,,,"Local antiquities"
DT,74,,,,,107,87,,,"History"
DT,115,,,,,154,,,,"Local history and description"
DT,139,,,,,153,5,,,"Cairo"
DT,154,1,,,,159,9,,,"Sudan. Anglo-Egyptian Sudan"
DT,154,8,,,,,,,,"Antiquities"
DT,155,,,,,155,2,,,"Ethnography"
DT,155,3,,,,157,67,,,"History"
DT,159,6,,,,159,9,,,"Local history and description"
DT,160,,,,,177,,,,"North Africa"
DT,167,,,,,176,,,,"History"
DT,168,,,,,169,5,,,"Carthaginian period"
DT,179,2,,,,179,9,,,"Northwest Africa"
DT,181,,,,,346,,,,"Maghrib. Barbary States"
DT,211,,,,,239,,,,"Libya"
DT,223,,,,,223,2,,,"Ethnography"
DT,223,3,,,,236,,,,"History"
DT,238,,,,,239,,,,"Local history and description"
DT,241,,,,,269,,,,"Tunisia (Tunis)"
DT,253,,,,,253,2,,,"Ethnography"
DT,253,4,,,,264,49,,,"History"
DT,268,,,,,269,,,,"Local history and description"
DT,271,,,,,299,,,,"Algeria"
DT,283,,,,,283,6,,,"Ethnography"
DT,283,7,,,,295,55,,,"History"
DT,298,,,,,299,,,,"Local history and description"
DT,301,,,,,330,,,,"Morocco"
DT,313,,,,,313,6,,,"Ethnography"
DT,313,7,,,,325,92,,,"History"
DT,328,,,,,329,,,,"Local history and description"
DT,330,,,,,,,,,"Spanish Morocco"
DT,331,,,,,346,,,,"Sahara"
DT,348,,,,,363,3,,,"Central Sub-Saharan Africa"
DT,365,,,,,469,,,,"Eastern Africa"
DT,365,5,,,,365,78,,,"History"
DT,367,,,,,367,8,,,"Northeast Africa"
DT,371,,,,,390,,,,"Ethiopia (Abyssinia)"
DT,380,,,,,380,4,,,"Ethnography"
DT,380,5,,,,390,,,,"History"
DT,391,,,,,398,,,,"Eritrea"
DT,401,,,,,409,,,,"Somalia. Somaliland and adjacent territory"
DT,402,3,,,,402,45,,,"Ethnography"
DT,402,5,,,,407,3,,,"History"
DT,409,,,,,,,,,"Local history and description"
DT,411,,,,,411,9,,,"Djibouti. French Territory of the Afars and Issas. French Somaliland"
DT,411,42,,,,411,45,,,"Ethnography"
DT,411,5,,,,411,83,,,"History"
DT,411,9,,,,,,,,"Local history and description"
DT,421,,,,,432,5,,,"East Africa. British East Africa"
DT,433,2,,,,433,29,,,"Uganda"
DT,433,242,,,,433,245,,,"Ethnography"
DT,433,252,,,,433,287,,,"History"
DT,433,29,,,,,,,,"Local history and description"
DT,433,5,,,,434,,,,"Kenya"
DT,433,542,,,,433,545,,,"Ethnography"
DT,433,552,,,,433,584,,,"History"
DT,436,,,,,449,,,,"Tanzania. Tanganyika. German East Africa"
DT,443,,,,,443,3,,,"Ethnography"
DT,443,5,,,,448,25,,,"History"
DT,449,,Z,2,,,,,,"Zanzibar"
DT,450,,,,,450,49,,,"Rwanda. Ruanda-Urundi"
DT,450,24,,,,450,25,,,"Ethnography"
DT,450,26,,,,450,437,,,"History"
DT,450,49,,,,,,,,"Local history and description"
DT,450,5,,,,450,95,,,"Burundi"
DT,450,64,,,,450,65,,,"Ethnography"
DT,450,66,,,,450,855,,,"History"
DT,450,95,,,,,,,,"Local history and description"
DT,468,,,,,469,,,,"Islands (East African coast)"
DT,469,,M,21,,,,M,38,"Madagascar"
DT,469,,M,39,,,,,,"Mascarene Islands"
DT,469,,M,4,,,,M,495,"Mautitius (Ile de France)"
DT,469,,M,4975,,,,,,"Mayotte"
DT,469,,R,3,,,,R,5,"Reunion"
DT,469,,S,4,,,,S,49,"Seychelles"
DT,470,,,,,671,,,,"West Africa. West Coast"
DT,477,,,,,,,,,"Upper Guinea"
DT,479,,,,,,,,,"Lower Guinea"
DT,491,,,,,516,9,,,"British West Africa"
DT,507,,,,,,,,,"Ashanti Empire"
DT,509,,,,,509,9,,,"Gambia"
DT,509,42,,,,509,45,,,"Ethnography"
DT,509,5,,,,509,83,,,"History"
DT,509,9,,,,,,,,"Local history and description"
DT,509,97,,,,512,9,,,"Ghana (Gold Coast)"
DT,510,42,,,,510,43,,,"Ethnography"
DT,510,5,,,,512,34,,,"History"
DT,512,9,,,,,,,,"Local history and description"
DT,515,,,,,515,9,,,"Nigeria"
DT,515,42,,,,515,45,,,"Ethnography"
DT,515,53,,,,515,842,,,"History"
DT,515,9,,,,,,,,"Local history and description"
DT,516,,,,,516,9,,,"Sierra Leone"
DT,516,42,,,,516,45,,,"Ethnography"
DT,516,5,,,,516,82,,,"History"
DT,516,9,,,,,,,,"Local history and description"
DT,521,,,,,555,9,,,"French West Africa. French Sahara. West Sahara. Sahel"
DT,541,,,,,541,9,,,"Benin. Dahomey"
DT,541,42,,,,541,45,,,"Ethnography"
DT,541,5,,,,541,845,,,"History"
DT,541,9,,,,,,,,"Local history and description"
DT,543,,,,,543,9,,,"Guinea"
DT,543,42,,,,543,45,,,"Ethnography"
DT,543,5,,,,543,827,,,"History"
DT,543,9,,,,,,,,"Local history and description"
DT,545,,,,,545,9,,,"Côte d'Ivoire. Ivory Coast"
DT,545,42,,,,545,45,,,"Ethnography"
DT,545,52,,,,545,83,,,"History"
DT,545,9,,,,,,,,"Local history and description"
DT,546,1,,,,546,49,,,"French-speaking Equatorial Africa"
DT,546,1,,,,546,19,,,"Gabon (Gaboon, Gabun)"
DT,546,142,,,,546,145,,,"Ethnography"
DT,546,15,,,,546,183,,,"History"
DT,546,19,,,,,,,,"Local history and description"
DT,546,2,,,,546,29,,,"Congo (Brazzaville). Middle Congo"
DT,546,242,,,,546,245,,,"Ethnography"
DT,546,25,,,,546,283,,,"History"
DT,546,29,,,,,,,,"Local history and description"
DT,546,3,,,,546,39,,,"Central African Republic. Central African Empire. Ubangi-Shari"
DT,546,342,,,,546,345,,,"Ethnography"
DT,546,348,,,,546,3852,,,"History"
DT,546,39,,,,,,,,"Local history and description"
DT,546,4,,,,546,49,,,"Chad (Tchad)"
DT,546,442,,,,546,445,,,"Ethnography"
DT,546,449,,,,546,483,,,"History"
DT,546,49,,,,,,,,"Local history and description"
DT,547,,,,,547,9,,,"Niger"
DT,547,42,,,,547,45,,,"Ethnography"
DT,547,5,,,,547,83,,,"History"
DT,547,9,,,,,,,,"Local history and description"
DT,548,,,,,,,,,"West Sahara"
DT,549,,,,,549,9,,,"Senegal"
DT,549,42,,,,549,45,,,"Ethnography"
DT,549,47,,,,549,83,,,"History"
DT,549,9,,,,,,,,"Local history and description"
DT,551,,,,,551,9,,,"Mali. Mali Federation. Sudanese Republic. French Sudan"
DT,551,42,,,,551,45,,,"Ethnography"
DT,551,5,,,,551,82,,,"History"
DT,551,9,,,,,,,,"Local history and description"
DT,554,,,,,554,9,,,"Mauritania"
DT,554,42,,,,554,45,,,"Ethnography"
DT,554,52,,,,554,83,,,"History"
DT,554,9,,,,,,,,"Local history and description"
DT,555,,,,,555,9,,,"Burkina Faso. Upper Volta"
DT,555,42,,,,555,45,,,"Ethnography"
DT,555,517,,,,555,837,,,"History"
DT,555,9,,,,,,,,"Local history and description"
DT,561,,,,,581,,,,"Cameroon (Cameroun, Kamerun)"
DT,570,,,,,571,,,,"Ethnography"
DT,572,,,,,578,4,,,"History"
DT,581,,,,,,,,,"Local history and description"
DT,582,,,,,582,9,,,"Togo. Togoland"
DT,582,42,,,,582,45,,,"Ethnography"
DT,582,5,,,,582,82,,,"History"
DT,582,9,,,,,,,,"Local history and description"
DT,591,,,,,615,9,,,"Portuguese-speaking West Africa"
DT,613,,,,,613,9,,,"Guinea-Bissau. Portuguese Guinea"
DT,613,42,,,,613,45,,,"Ethnography"
DT,613,5,,,,613,83,,,"History"
DT,613,9,,,,,,,,"Local history and description"
DT,615,,,,,615,9,,,"Sao Tome and Principe"
DT,615,42,,,,615,45,,,"Ethnography"
DT,615,5,,,,615,8,,,"History"
DT,615,9,,,,,,,,"Local history and description"
DT,619,,,,,620,9,,,"Spanish West Africa"
DT,620,,,,,620,9,,,"Equatorial Guinea (Spanish Guinea)"
DT,620,42,,,,620,45,,,"Ethnography"
DT,620,46,,,,620,83,,,"History"
DT,620,9,,,,,,,,"Local history and description"
DT,621,,,,,637,,,,"Liberia"
DT,630,,,,,630,5,,,"Ethnography"
DT,630,8,,,,636,53,,,"History"
DT,639,,,,,,,,,"Congo (Kongo) River region"
DT,641,,,,,665,,,,"Zaire. Congo (Democratic Republic). Belgian Congo"
DT,649,5,,,,650,,,,"Ethnography"
DT,650,2,,,,663,,,,"History"
DT,665,,,,,,,,,"Local history and description"
DT,669,,,,,671,,,,"Islands"
DT,671,,C,2,,,,,,"Cape Verde"
DT,1001,,,,,1190,,,,"Southern Africa"
DT,1054,,,,,1058,,,,"Ethnography"
DT,1062,,,,,1182,,,,"History"
DT,1190,,,,,,,,,"Local history and description"
DT,1251,,,,,1465,,,,"Angola"
DT,1304,,,,,1308,,,,"Ethnography"
DT,1314,,,,,1436,,,,"History"
DT,1450,,,,,1465,,,,"Local history and description"
DT,1501,,,,,1685,,,,"Namibia. South-West Africa"
DT,1554,,,,,1558,,,,"Ethnography"
DT,1564,,,,,1651,,,,"History"
DT,1670,,,,,1685,,,,"Local history and description"
DT,1701,,,,,2405,,,,"South Africa"
DT,1754,,,,,1770,,,,"Ethnography"
DT,1757,,,,,,,,,"Apartheid"
DT,1758,,,,,1760,,,,"Blacks"
DT,1772,,,,,1974,,,,"History"
DT,1991,,,,,2054,,,,"Cape Province. Cape of Good Hope"
DT,2075,,,,,2145,,,,"Orange Free State. Oranje Vrystaat"
DT,2181,,,,,2278,,,,"KwaZulu-Natal. Natal"
DT,2291,,,,,2378,,,,"Transvaal. South African Republic"
DT,2421,,,,,2525,,,,"Botswana. Bechuanaland"
DT,2454,,,,,2458,,,,"Ethnography"
DT,2464,,,,,2502,,,,"History"
DT,2541,,,,,2686,,,,"Lesotho. Basutoland"
DT,2592,,,,,2596,,,,"Ethnography"
DT,2604,,,,,2660,,,,"History"
DT,2680,,,,,2686,,,,"Local history and description"
DT,2701,,,,,2825,,,,"Swaziland"
DT,2744,,,,,2746,,,,"Ethnography"
DT,2754,,,,,2806,,,,"History"
DT,2820,,,,,2825,,,,"Local history and description"
DT,2831,,,,,2864,,,,"British Central Africa. Federation of Rhodesia and Nyasaland"
DT,2871,,,,,3025,,,,"Zimbabwe. Southern Rhodesia"
DT,2910,,,,,2913,,,,"Ethnography"
DT,2914,,,,,3000,,,,"History"
DT,3020,,,,,3025,,,,"Local history and description"
DT,3031,,,,,3145,,,,"Zambia. Northern Rhodesia"
DT,3054,,,,,3058,,,,"Ethnography"
DT,3064,,,,,3119,,,,"History"
DT,3140,,,,,3145,,,,"Local history and description"
DT,3161,,,,,3257,,,,"Malawi. Nyasaland"
DT,3189,,,,,3192,,,,"Ethnography"
DT,3194,,,,,3237,,,,"History"
DT,3252,,,,,3257,,,,"Local history and description"
DT,3291,,,,,3415,,,,"Mozambique"
DT,3324,,,,,3328,,,,"Ethnography"
DT,3330,,,,,3398,,,,"History"
DT,3410,,,,,3415,,,,"Local history and description"
DU,1,,,,,950,,,,"History of Oceania (South Seas)"
DU,28,11,,,,68,,,,"History"
DU,80,,,,,398,,,,"Australia"
DU,108,,,,,117,2,,,"History"
DU,120,,,,,125,,,,"Ethnography"
DU,125,,,,,,,,,"Australian aborigines"
DU,145,,,,,,,,,"Australian Capital Territory. Canberra"
DU,150,,,,,180,,,,"New South Wales"
DU,170,,,,,172,,,,"History"
DU,178,,,,,180,,,,"Local history and description"
DU,182,,,,,198,,,,"Tasmania. Van Diemen's Land"
DU,190,,,,,195,3,,,"History"
DU,200,,,,,230,,,,"Victoria"
DU,220,,,,,222,,,,"History"
DU,228,,,,,230,,,,"Local history and description"
DU,250,,,,,280,,,,"Queensland"
DU,270,,,,,272,,,,"History"
DU,278,,,,,280,,,,"Local history and description"
DU,300,,,,,330,,,,"South Australia"
DU,320,,,,,322,,,,"History"
DU,328,,,,,330,,,,"Local history and description"
DU,350,,,,,380,,,,"Western Australia"
DU,370,,,,,372,,,,"History"
DU,378,,,,,380,,,,"Local history and description"
DU,390,,,,,,,,,"Central Australia"
DU,391,,,,,,,,,"Northern Australia"
DU,392,,,,,398,,,,"Northern Territory of Australia"
DU,400,,,,,430,,,,"New Zealand"
DU,419,,,,,422,,,,"History"
DU,422,5,,,,424,5,,,"Ethnography"
DU,422,8,,,,424,,,,"Maoris"
DU,428,,,,,430,,,,"Local history and description"
DU,490,,,,,,,,,"Melanesia (General)"
DU,500,,,,,,,,,"Micronesia (General)"
DU,510,,,,,,,,,"Polynesia (General)"
DU,520,,,,,950,,,,"Smaller island groups"
DU,620,,,,,629,,,,"Hawaiian Islands. Hawaii"
DU,739,,,,,747,,,,"New Guinea"
DU,810,,,,,819,,,,"Samoan Islands"
DX,101,,,,,301,,,,"History of Romanies"
E,11,,,,,143,,,,"America"
E,11,,,,,29,,,,"General"
E,29,,,,,,,,,"Elements in the population"
E,31,,,,,49,2,,,"North America"
E,51,,,,,73,,,,"Pre-Columbian America. The Indians"
E,75,,,,,99,,,,"Indians of North America"
E,81,,,,,83,,,,"Indian wars"
E,99,,,,,,,,,"Indian tribes and cultures"
E,101,,,,,135,,,,"Discovery of America and early explorations"
E,103,,,,,110,,,,"Pre-Columbian period"
E,111,,,,,120,,,,"Columbus"
E,121,,,,,135,,,,"Post-Columbian period. El Dorado"
E,141,,,,,143,,,,"Descriptive accounts of America. Earliest to 1810"
E,151,,,,,889,,,,"United States"
E,151,,,,,169,12,,,"General"
E,171,,,,,183,9,,,"History"
E,171,,,,,180,,,,"General"
E,173,,,,,,,,,"Sources and documents"
E,175,,,,,175,7,,,"Historiography"
E,176,,,,,176,8,,,"Biography"
E,179,5,,,,,,,,"Historical geography"
E,181,,,,,,,,,"Military history"
E,182,,,,,,,,,"Naval history"
E,183,,,,,183,3,,,"Political history"
E,183,7,,,,183,9,,,"Diplomatic history. Foreign and general relations."
E,183,8,,,,,,,,"Relations with individual countries"
E,184,,,,,185,98,,,"Elements in the population"
E,184,5,,,,185,98,,,"Afro-Americans"
E,185,2,,,,185,89,,,"Status and development since emancipation"
E,185,96,,,,185,98,,,"Biography. Genealogy"
E,186,,,,,199,,,,"Colonial history (1607-1775)"
E,186,,,,,189,,,,"General"
E,191,,,,,199,,,,"By period"
E,191,,,,,,,,,"1607-1689"
E,195,,,,,199,,,,"1689-1775"
E,196,,,,,,,,,"King William's War, 1689-1697"
E,197,,,,,,,,,"Queen Anne's War, 1702-1713"
E,198,,,,,,,,,"King George's War, 1744-1748"
E,199,,,,,,,,,"French and Indian War, 1755-1763"
E,201,,,,,298,,,,"The Revolution, 1775-1783"
E,300,,,,,453,,,,"Revolution to the Civil War, 1775/1783-1861"
E,300,,,,,302,6,,,"General"
E,302,,,,,,,,,"Collected works of American statemen"
E,302,1,,,,,,,,"Political history"
E,302,5,,,,302,6,,,"Biography (Late eighteenth century)"
E,303,,,,,440,5,,,"By period"
E,303,,,,,309,,,,"1775-1789. The Confederation, 1783-1789"
E,310,,,,,337,,,,"1789-1809. Constitutional period"
E,310,7,,,,,,,,"Diplomatic history. Foreign and general relations"
E,311,,,,,320,,,,"Washington's administrations, 1789-1797"
E,321,,,,,330,,,,"John Adams' administration, 1797-1801"
E,323,,,,,,,,,"Troubles with France, 1796-1800"
E,331,,,,,337,,,,"Jefferson's administrations, 1801-1809"
E,333,,,,,,,,,"Purchase of Louisiana, 1803"
E,335,,,,,,,,,"War with Tripoli, 1801-1805"
E,336,,,,,336,5,,,"Neutral trade and its restrictions, 1800-1810"
E,337,5,,,,,,,,"Nineteenth century (General)"
E,337,8,,,,400,,,,"Early nineteenth century, 1801/1809-1845"
E,337,8,,,,340,,,,"General"
E,337,8,,,,,,,,"Collected works of American statesmen"
E,339,,,,,340,,,,"¬Biography"
E,341,,,,,370,,,,"Madison's administrations, 1809-1817"
E,351,5,,,,364,9,,,"War of 1812"
E,365,,,,,,,,,"War with Algeria, 1815"
E,371,,,,,375,,,,"Monroe's administrations, 1817-1825"
E,373,,,,,,,,,"Missouri Compromise, 1820"
E,374,,,,,,,,,"Diplomatic history. Foreign relations"
E,376,,,,,380,,,,"John Quincy Adams' administration, 1825-1829"
E,381,,,,,385,,,,"Jackson's administrations, 1829-1837"
E,384,3,,,,,,,,"Nullification"
E,386,,,,,390,,,,"Van Buren's administration, 1837-1841"
E,391,,,,,392,,,,"William H. Harrison's administration, March 4-April 4, 1841"
E,396,,,,,400,,,,"Tyler's administration, April 4, 1841-1845"
E,398,,,,,,,,,"Northeastern boundary disputes, 1783-1845"
E,401,,,,,415,2,,,"Mexican War, 1846-1848"
E,408,,,,,,,,,"Mexican cessions of 1848"
E,415,6,,,,440,5,,,"Middle nineteenth century, 1845/1848-1861"
E,415,6,,,,415,9,,,"General"
E,415,6,,,,,,,,"Collected works of American statesmen"
E,415,8,,,,415,9,,,"Biography"
E,416,,,,,420,,,,"Polk's administration, 1845-1849"
E,421,,,,,423,,,,"Taylor's administiration, 1849-July 9, 1850"
E,423,,,,,,,,,"Slavery question, 1849-1853"
E,426,,,,,430,,,,"Fillmore's administration, July 9, 1850-1853"
E,431,,,,,435,,,,"Pierce's administration, 1853-1857"
E,433,,,,,,,,,"Slavery question, 1853-1857"
E,436,,,,,440,5,,,"Buchanan's administration, 1857-1861"
E,438,,,,,,,,,"Slavery question, 1857-1861"
E,440,5,,,,,,,,"State of the country, November 1860-March 4, 1861"
E,441,,,,,453,,,,"Slavery in the United States. Antislavery movements"
E,456,,,,,655,,,,"Civil War period, 1861-1865"
E,456,,,,,459,,,,"Lincoln's administrations, 1861-April 15, 1865"
E,461,,,,,655,,,,"The Civil War, 1861-1865"
E,482,,,,,489,,,,"Confederate States of America"
E,491,,,,,586,,,,"Armies. Troops"
E,591,,,,,600,,,,"Naval history"
E,660,,,,,738,,,,"Late nineteenth century, 1865-1900"
E,660,,,,,664,,,,"General"
E,660,,,,,,,,,"Collected works of American statesmen"
E,661,7,,,,,,,,"Diplomatic history. Foreign and general relations"
E,663,,,,,664,,,,"Biography"
E,666,,,,,670,,,,"Andrew Johnson's administration, April 15, 1865-1869"
E,668,,,,,,,,,"Reconstruction, 1865-1877"
E,669,,,,,,,,,"Purchase of Alaska, 1867"
E,671,,,,,680,,,,"Grant's administrations, 1869-1877"
E,681,,,,,685,,,,"Hayes' administration, 1877-1881"
E,686,,,,,687,9,,,"Garfield's administration, March 4-September 19, 1881"
E,691,,,,,695,,,,"Arthur's administration, September 19, 1881-1885"
E,696,,,,,700,,,,"Cleveland's first administration, 1885-1889"
E,701,,,,,705,,,,"Benjamin Harrison's administration, 1889-1893"
E,706,,,,,710,,,,"Cleveland's second administration, 1893-1897"
E,711,,,,,738,,,,"McKinley's first administration, 1897-1901"
E,713,,,,,,,,,"Annexation in 1898 of Hawaii, the Philippines, and Puerto Rico"
E,714,,,,,735,,,,"War of 1898 (Spanish-American War)"
E,740,,,,,837,7,,,"Twentieth century"
E,740,,,,,749,,,,"General"
E,740,5,,,,,,,,"Sources and documents"
E,742,5,,,,,,,,"Collected works of American statesmen"
E,743,,,,,743,5,,,"Political history"
E,743,5,,,,,,,,"Un-American activities"
E,744,,,,,744,5,,,"Diplomatic history. Foreign and general relations"
E,745,,,,,,,,,"Military history"
E,746,,,,,,,,,"Naval history"
E,747,,,,,748,,,,"Biography"
E,751,,,,,,,,,"McKinley's second administration, March 4-September 14, 1901"
E,756,,,,,760,,,,"Theodore Roosevelt's administrations, September 14, 1901-1909"
E,761,,,,,765,,,,"Taft's administration, 1909-1913"
E,766,,,,,783,,,,"Wilson's administrations, 1913-1921"
E,768,,,,,,,,,"Purchase of Danish West Indies (Virgin Islands), 1917"
E,780,,,,,,,,,"Internal history during World War I"
E,784,,,,,805,,,,"1919-1933. Harding-Coolidge-Hoover era. The Twenties"
E,785,,,,,786,,,,"Harding's administration, 1921-August 2, 1923"
E,791,,,,,796,,,,"Coolidge's administration, August 2, 1923-1929"
E,801,,,,,805,,,,"Hoover's administration, 1919-1933"
E,806,,,,,812,,,,"Franklin Delano Roosevelt's administrations, 1933-April 12, 1945"
E,813,,,,,816,,,,"Truman's administrations, April 12, 1945-1953"
E,835,,,,,837,7,,,"Eisenhower's administrations, 1953-1961"
E,838,,,,,889,,,,"Later twentieth century, 1961-2000"
E,838,,,,,840,8,,,"General"
E,838,3,,,,,,,,"Sources and documents"
E,839,5,,,,839,8,,,"Political history"
E,839,8,,,,,,,,"Un-American activities"
E,840,,,,,840,2,,,"Diplomatic history. Foreign and general relations"
E,840,6,,,,840,8,,,"Biography (General)"
E,841,,,,,843,,,,"Kennedy's administration, 1961-November 22, 1963"
E,842,9,,,,,,,,"Assassination, funeral, memorial services, etc."
E,846,,,,,851,,,,"Johnson's administrations, November 22, 1963-1969"
E,855,,,,,861,,,,"Nixon's administrations, 1969-August 9, 1974"
E,860,,,,,861,,,,"Watergate Affair. Resignation"
E,865,,,,,868,,,,"Ford's administration, August 9, 1974-1977"
E,872,,,,,875,,,,"Carter's administration, 1977-1981"
E,876,,,,,880,,,,"Reagan's administrations, 1981-1989"
E,877,3,,,,,,,,"Assassination attempt"
E,881,,,,,884,,,,"George H. W. Bush's administration, 1989-1993"
E,885,,,,,889,,,,"Clinton's administrations, 1993-2001"
E,895,,,,,904,,,,"Twenty-first century"
E,902,,,,,904,,,,"George W. Bush's administrations, 2001-2009"
E,907,,,,,909,,,,"Barack Obama's administration, 2009-"
F,1,,,,,975,,,,"United States local history"
F,1,,,,,15,,,,"New England"
F,16,,,,,30,,,,"Maine"
F,31,,,,,45,,,,"New Hampshire"
F,46,,,,,60,,,,"Vermont"
F,61,,,,,75,,,,"Massachusetts"
F,76,,,,,90,,,,"Rhode Island"
F,91,,,,,105,,,,"Connecticut"
F,106,,,,,,,,,"Atlantic coast. Middle Atlantic States"
F,116,,,,,130,,,,"New York"
F,131,,,,,145,,,,"New Jersey"
F,146,,,,,160,,,,"Pennsylvania"
F,161,,,,,175,,,,"Delaware"
F,176,,,,,190,,,,"Maryland"
F,191,,,,,205,,,,"District of Columbia. Washington"
F,206,,,,,220,,,,"The South. South Atlantic States"
F,221,,,,,235,,,,"Virginia"
F,236,,,,,250,,,,"West Virginia"
F,251,,,,,265,,,,"North Carolina"
F,266,,,,,280,,,,"South Carolina"
F,281,,,,,295,,,,"Georgia"
F,296,,,,,301,,,,"Gulf States. West Florida"
F,306,,,,,320,,,,"Florida"
F,321,,,,,335,,,,"Alabama"
F,336,,,,,350,,,,"Mississippi"
F,350,5,,,,355,,,,"Mississippi River and Valley. Middle West"
F,366,,,,,380,,,,"Louisiana"
F,381,,,,,395,,,,"Texas"
F,396,,,,,,,,,"Old Southwest. Lower Mississippi Valley"
F,406,,,,,420,,,,"Arkansas"
F,431,,,,,445,,,,"Tennessee"
F,446,,,,,460,,,,"Kentucky"
F,461,,,,,475,,,,"Missouri"
F,476,,,,,485,,,,"Old Northwest. Northwest Territory"
F,486,,,,,500,,,,"Ohio"
F,516,,,,,520,,,,"Ohio River and Valley"
F,521,,,,,535,,,,"Indiana"
F,536,,,,,550,,,,"Illinois"
F,550,5,,,,553,2,,,"The Lake region. Great Lakes"
F,561,,,,,575,,,,"Michigan"
F,576,,,,,590,,,,"Wisconsin"
F,590,3,,,,596,3,,,"The West. Trans-Mississippi Region. Great Plains"
F,597,,,,,,,,,"The Northwest"
F,598,,,,,,,,,"Missouri River and Valley"
F,601,,,,,615,,,,"Minnesota"
F,616,,,,,630,,,,"Iowa"
F,631,,,,,645,,,,"North Dakota"
F,646,,,,,660,,,,"South Dakota"
F,661,,,,,675,,,,"Nebraska"
F,676,,,,,690,,,,"Kansas"
F,691,,,,,705,,,,"Oklahoma"
F,721,,,,,722,,,,"Rocky Mountains. Yellowstone National Park"
F,726,,,,,740,,,,"Montana"
F,741,,,,,755,,,,"Idaho"
F,756,,,,,770,,,,"Wyoming"
F,771,,,,,785,,,,"Colorado"
F,786,,,,,790,,,,"New Southwest. Colorado River, Canyon, and Valley"
F,791,,,,,805,,,,"New Mexico"
F,806,,,,,820,,,,"Arizona"
F,821,,,,,835,,,,"Utah"
F,836,,,,,850,,,,"Nevada"
F,850,5,,,,851,5,,,"Pacific States"
F,851,7,,,,,,,,"Cascade Range"
F,852,,,,,854,,,,"Pacific Northwest. Columbia River and Valley. Northwest boundary since 1846"
F,856,,,,,870,,,,"California"
F,871,,,,,885,,,,"Oregon"
F,886,,,,,900,,,,"Washington"
F,901,,,,,951,,,,"Alaska"
F,951,,,,,,,,,"Bering Sea and Aleutian Islands"
F,965,,,,,,,,,"The territories of the United States (General)"
F,970,,,,,,,,,"Insular possessions of the United States (General)"
F,975,,,,,,,,,"Central American, West Indian, and other countries protected by and having close political affiliations with the United States (General)"
F,1001,,,,,1145,2,,,"British America"
F,1001,,,,,1145,2,,,"Canada"
F,1001,,,,,1035,,,,"General"
F,1035,8,,,,,,,,"Maritime provinces. Atlantic coast of Canada"
F,1036,,,,,1040,,,,"Nova Scotia. Acadia"
F,1041,,,,,1045,,,,"New Brunswick"
F,1046,,,,,1049,7,,,"Prince Edward Island"
F,1050,,,,,,,,,"St. Lawrence Gulf, River and Valley (General)"
F,1051,,,,,1055,,,,"Quebec"
F,1056,,,,,1059,7,,,"Ontario"
F,1060,,,,,1060,97,,,"Canadian Northwest. Northwest Territories"
F,1061,,,,,1065,,,,"Manitoba"
F,1067,,,,,,,,,"Assiniboia"
F,1070,,,,,1074,7,,,"Saskatchewan"
F,1075,,,,,1080,,,,"Alberta"
F,1086,,,,,1089,7,,,"British Columbia"
F,1090,,,,,,,,,"Rocky Mountains of Canada"
F,1090,5,,,,,,,,"Arctic regions"
F,1091,,,,,1095,5,,,"Yukon"
F,1096,,,,,1100,5,,,"Mackenzie"
F,1101,,,,,1105,7,,,"Franklin"
F,1106,,,,,1110,5,,,"Keewatin"
F,1121,,,,,1139,,,,"Newfoundland"
F,1135,,,,,1139,,,,"Labrador"
F,1140,,,,,,,,,"The Labrador Peninsula"
F,1141,,,,,1145,2,,,"Nunavut Other than Canada Bahamas, see F1650+ Bermudas, see F1630+ British East asnd West Florida, 1763-1783, see F301, F314 British Guiana, see F2361+ British Honduras (Belize), see F1441+ British West Indies, see F2131+ Falkland Islands, see F3031+ Thirteen North American Colonies before 1776, see E186+ Dutch America Colony in Brazil, 1625-1661, see F2532 Dutch Guinea, see F2401+ Dutch West Indies, see F2141 New Netherlands to 1664, see F122.1 New Sweden (Dutch possession, 1655-1664), see F167"
F,1170,,,,,,,,,"French America"
F,1170,,,,,,,,,"Saint Pierre and Miquelon Other French America Colony in Brazil, 1555-1567, see F2529 Colony in Florida, 1562-1565, see F314 French Guinana, see F2441+ French West Indies, see F2151 Louisiana, 1698-1803, see F372 New France and Acadia, 1600-1763, see F1030, F1038"
F,1201,,,,,3799,,,,"Latin America. Spanish America"
F,1201,,,,,1392,,,,"Mexico"
F,1218,5,,,,1221,,,,"Antiquities. Indians"
F,1401,,,,,1419,,,,"Latin America (General)"
F,1421,,,,,1440,,,,"Central America"
F,1435,,,,,1435,3,,,"Mayas"
